qweek,i2_health,i11_health,age,gender,household_size,WCRex2,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,WCRex1,r1_1,r1_2,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6M_Facial Coverings,H7_Vaccination policy,H8M_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,i9_health_No,i9_health_Not sure,i9_health_Yes,state_Australian Capital Territory,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,employment_status_Full time employment,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
43,5.0,2.0,35,1,3,3.0,7.0,3,3,3,3,3.0,5,4,1.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,917.0,4.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
39,3.0,1.0,55,0,3,1.0,7.0,4,4,4,4,1.0,5,5,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,3.0,21471.0,133.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
47,25.0,1.0,34,0,3,4.0,8.0,4,4,4,4,3.0,4,4,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1125.0,9.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
43,5.0,1.0,46,1,2,4.0,10.0,3,2,1,2,4.0,3,5,1.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,917.0,4.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
49,0.0,1.0,72,1,2,4.0,7.0,4,4,4,4,3.0,6,3,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0,2.0,685007.0,1735.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
37,30.0,1.0,26,1,2,3.0,8.0,4,4,3,4,3.0,5,3,1.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,5.0,2.0,1809.0,7.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
37,10.0,2.0,54,0,1,3.0,7.0,4,4,4,4,1.0,7,7,1.0,1.0,1.0,3.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,1800.0,7.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
41,0.0,1.0,40,1,2,3.0,1.0,1,1,3,3,1.0,6,2,1.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,5.0,2.0,2022.0,7.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
44,4.0,1.0,61,1,1,3.0,8.0,4,4,4,4,3.0,7,3,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,5.0,2.0,2089.0,7.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
41,40.0,5.0,44,0,3,1.0,5.0,4,4,4,4,1.0,1,1,1.0,1.0,1.0,3.0,1.0,0.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,899.0,4.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
